# data  : Cu 50K, bare autobk
# xmu: from skey ASCII of cu50k.dat
# using simple minimization
# e0 =  8977.58; pre-edge range =[   -50.0  -200.0]; edge step =  2.281
# k range=[  0.00 25.00]; k weight=  1.00; sills  dk1, dk2  =  0.00  0.00
# bkg r =[  0.00  0.98];   15 knots in spline
# Cu foil at 50K
# # cu50k.dat    : this file is part of the uwxafs 3.0 distribution
# data taken at NSLS beamline X-11A Sept 1992
# by M Newville, B Ravel, and Y Zhang
# foil of 99.999% Cu rolled and annealled to ~12 microns
# sample prepared by M Newville
# From X-11A :
# 2-SI111 HC/2D= 1977.260 STPDEG=6400. STPMMZ= 40. FOCUS=F TRANSLT=F
# E0= 8980.0 NREG= 3 NPTS= 619 NSCLRS= 3 EF=     .0
# SRB=   -197.6    -47.3     30.0   2381.3
# DEL=           10.020     .483     .050K
# SEC=             1.000    1.000    1.000
#---------------------------------------------------------------------
#     energy          xmu        
  0.9011062E+04   0.8967290E+00
  0.9012153E+04   0.9032258E+00
  0.9013290E+04   0.9149442E+00
  0.9014428E+04   0.9272310E+00
  0.9015565E+04   0.9496881E+00
  0.9016746E+04   0.9720234E+00
  0.9017928E+04   0.9897018E+00
  0.9019154E+04   0.1015160E+01
  0.9020380E+04   0.1039980E+01
  0.9021606E+04   0.1059572E+01
  0.9022877E+04   0.1074824E+01
  0.9024191E+04   0.1076937E+01
  0.9025507E+04   0.1062499E+01
  0.9026822E+04   0.1037495E+01
  0.9028183E+04   0.1010894E+01
  0.9029543E+04   0.9809303E+00
  0.9030903E+04   0.9592471E+00
  0.9032309E+04   0.9438653E+00
  0.9033759E+04   0.9336784E+00
  0.9035164E+04   0.9317158E+00
  0.9036659E+04   0.9363915E+00
  0.9038109E+04   0.9465909E+00
  0.9039604E+04   0.9562717E+00
  0.9041145E+04   0.9592327E+00
  0.9042686E+04   0.9551271E+00
  0.9044227E+04   0.9510473E+00
  0.9045812E+04   0.9543506E+00
  0.9047397E+04   0.9662257E+00
  0.9049029E+04   0.9784572E+00
  0.9050660E+04   0.9818876E+00
  0.9052292E+04   0.9797652E+00
  0.9053969E+04   0.9811351E+00
  0.9055646E+04   0.9909397E+00
  0.9057368E+04   0.1005235E+01
  0.9059091E+04   0.1017665E+01
  0.9060814E+04   0.1025648E+01
  0.9062627E+04   0.1033880E+01
  0.9064440E+04   0.1044401E+01
  0.9066166E+04   0.1058689E+01
  0.9067981E+04   0.1073828E+01
  0.9069842E+04   0.1085577E+01
  0.9071702E+04   0.1086565E+01
  0.9073563E+04   0.1075963E+01
  0.9075470E+04   0.1053545E+01
  0.9077377E+04   0.1023507E+01
  0.9079329E+04   0.9987385E+00
  0.9081283E+04   0.9795700E+00
  0.9083282E+04   0.9623558E+00
  0.9085237E+04   0.9536813E+00
  0.9087282E+04   0.9518529E+00
  0.9089283E+04   0.9425707E+00
  0.9091330E+04   0.9199907E+00
  0.9093423E+04   0.8984605E+00
  0.9095516E+04   0.8834527E+00
  0.9097654E+04   0.8806551E+00
  0.9099750E+04   0.8899147E+00
  0.9101891E+04   0.9064991E+00
  0.9104033E+04   0.9270504E+00
  0.9106221E+04   0.9506074E+00
  0.9108454E+04   0.9731452E+00
  0.9110644E+04   0.9870894E+00
  0.9112924E+04   0.9903119E+00
  0.9115160E+04   0.9839216E+00
  0.9117488E+04   0.9760754E+00
  0.9119728E+04   0.9743496E+00
  0.9122057E+04   0.9927352E+00
  0.9124389E+04   0.1035742E+01
  0.9126765E+04   0.1089438E+01
  0.9129144E+04   0.1116527E+01
  0.9131567E+04   0.1118116E+01
  0.9133993E+04   0.1105876E+01
  0.9136421E+04   0.1093789E+01
  0.9138850E+04   0.1079275E+01
  0.9141279E+04   0.1053442E+01
  0.9143756E+04   0.1018188E+01
  0.9146278E+04   0.9742722E+00
  0.9148803E+04   0.9284297E+00
  0.9151328E+04   0.8831941E+00
  0.9153899E+04   0.8441361E+00
  0.9156519E+04   0.8197851E+00
  0.9159094E+04   0.8174897E+00
  0.9161716E+04   0.8388363E+00
  0.9164384E+04   0.8772027E+00
  0.9167009E+04   0.9208598E+00
  0.9169726E+04   0.9640686E+00
  0.9172399E+04   0.9914961E+00
  0.9175119E+04   0.1006607E+01
  0.9177842E+04   0.1004112E+01
  0.9180610E+04   0.9878619E+00
  0.9183381E+04   0.9736975E+00
  0.9186198E+04   0.9667305E+00
  0.9188973E+04   0.9639878E+00
  0.9191840E+04   0.9523361E+00
  0.9194663E+04   0.9361793E+00
  0.9197533E+04   0.9333825E+00
  0.9200451E+04   0.9547021E+00
  0.9203326E+04   0.9961387E+00
  0.9206293E+04   0.1037964E+01
  0.9209217E+04   0.1051776E+01
  0.9212188E+04   0.1053516E+01
  0.9215161E+04   0.1046690E+01
  0.9218183E+04   0.1029146E+01
  0.9221206E+04   0.9968326E+00
  0.9224230E+04   0.9572815E+00
  0.9227304E+04   0.9203013E+00
  0.9230379E+04   0.8925830E+00
  0.9233456E+04   0.8758433E+00
  0.9236581E+04   0.8682632E+00
  0.9239755E+04   0.8716933E+00
  0.9242885E+04   0.8857485E+00
  0.9246063E+04   0.8956571E+00
  0.9249242E+04   0.8961440E+00
  0.9252471E+04   0.8992279E+00
  0.9255702E+04   0.9030671E+00
  0.9258935E+04   0.9054531E+00
  0.9262217E+04   0.9129862E+00
  0.9265500E+04   0.9272947E+00
  0.9268787E+04   0.9400684E+00
  0.9272122E+04   0.9491835E+00
  0.9275459E+04   0.9541176E+00
  0.9278847E+04   0.9554267E+00
  0.9282235E+04   0.9556755E+00
  0.9285627E+04   0.9605451E+00
  0.9289067E+04   0.9674234E+00
  0.9292511E+04   0.9761431E+00
  0.9295957E+04   0.9833093E+00
  0.9299451E+04   0.9747223E+00
  0.9302949E+04   0.9555730E+00
  0.9306449E+04   0.9372455E+00
  0.9310000E+04   0.9172094E+00
  0.9313553E+04   0.8992367E+00
  0.9317108E+04   0.8912254E+00
  0.9320713E+04   0.8943161E+00
  0.9324320E+04   0.9032338E+00
  0.9327979E+04   0.9099129E+00
  0.9331592E+04   0.9047162E+00
  0.9335256E+04   0.8887543E+00
  0.9338969E+04   0.8679041E+00
  0.9342732E+04   0.8592378E+00
  0.9346405E+04   0.8699665E+00
  0.9350128E+04   0.8809517E+00
  0.9353900E+04   0.8822208E+00
  0.9357677E+04   0.8875392E+00
  0.9361550E+04   0.8953542E+00
  0.9365332E+04   0.8996151E+00
  0.9369165E+04   0.9039326E+00
  0.9373048E+04   0.9086788E+00
  0.9376935E+04   0.9126644E+00
  0.9380824E+04   0.9168170E+00
  0.9384718E+04   0.9195274E+00
  0.9388662E+04   0.9212615E+00
  0.9392609E+04   0.9227448E+00
  0.9396561E+04   0.9238924E+00
  0.9400563E+04   0.9226832E+00
  0.9404567E+04   0.9160914E+00
  0.9408624E+04   0.9028469E+00
  0.9412685E+04   0.8863350E+00
  0.9416748E+04   0.8725013E+00
  0.9420815E+04   0.8677380E+00
  0.9424935E+04   0.8688874E+00
  0.9429057E+04   0.8737295E+00
  0.9433231E+04   0.8808218E+00
  0.9437361E+04   0.8849662E+00
  0.9441544E+04   0.8841657E+00
  0.9445777E+04   0.8786409E+00
  0.9449966E+04   0.8675912E+00
  0.9454208E+04   0.8569423E+00
  0.9458501E+04   0.8557134E+00
  0.9462750E+04   0.8600475E+00
  0.9467052E+04   0.8593473E+00
  0.9471406E+04   0.8548982E+00
  0.9475716E+04   0.8533636E+00
  0.9480078E+04   0.8542073E+00
  0.9484444E+04   0.8588989E+00
  0.9488863E+04   0.8660315E+00
  0.9493238E+04   0.8724720E+00
  0.9497714E+04   0.8796716E+00
  0.9502146E+04   0.8887486E+00
  0.9506630E+04   0.8959613E+00
  0.9511118E+04   0.8989697E+00
  0.9515661E+04   0.8961160E+00
  0.9520158E+04   0.8866516E+00
  0.9524709E+04   0.8691346E+00
  0.9529265E+04   0.8523691E+00
  0.9533825E+04   0.8451568E+00
  0.9538438E+04   0.8437201E+00
  0.9543105E+04   0.8438413E+00
  0.9547679E+04   0.8438369E+00
  0.9552355E+04   0.8451089E+00
  0.9557036E+04   0.8476068E+00
  0.9561722E+04   0.8487200E+00
  0.9566462E+04   0.8468407E+00
  0.9571256E+04   0.8455407E+00
  0.9575956E+04   0.8450205E+00
  0.9580760E+04   0.8425008E+00
  0.9585568E+04   0.8364038E+00
  0.9590382E+04   0.8340527E+00
  0.9595201E+04   0.8347764E+00
  0.9600024E+04   0.8351304E+00
  0.9604903E+04   0.8380663E+00
  0.9609786E+04   0.8404874E+00
  0.9614676E+04   0.8409895E+00
  0.9619619E+04   0.8417863E+00
  0.9624567E+04   0.8447787E+00
  0.9629521E+04   0.8487608E+00
  0.9634480E+04   0.8486267E+00
  0.9639496E+04   0.8462201E+00
  0.9644516E+04   0.8432561E+00
  0.9649541E+04   0.8403553E+00
  0.9654622E+04   0.8386348E+00
  0.9659708E+04   0.8356111E+00
  0.9664800E+04   0.8305729E+00
  0.9669897E+04   0.8271738E+00
  0.9675051E+04   0.8254954E+00
  0.9680210E+04   0.8247148E+00
  0.9685374E+04   0.8255011E+00
  0.9690646E+04   0.8239722E+00
  0.9695771E+04   0.8200246E+00
  0.9701004E+04   0.8192794E+00
  0.9706293E+04   0.8196753E+00
  0.9711537E+04   0.8187650E+00
  0.9716839E+04   0.8160730E+00
  0.9722146E+04   0.8142322E+00
  0.9727458E+04   0.8132392E+00
  0.9732828E+04   0.8107117E+00
  0.9738204E+04   0.8110512E+00
  0.9743586E+04   0.8128061E+00
  0.9748975E+04   0.8145817E+00
  0.9754420E+04   0.8182449E+00
  0.9759820E+04   0.8189951E+00
  0.9765278E+04   0.8189996E+00
