 name:     yttrium barium copper oxide ( 123 ,  ybco)             Feff  7.023
 formula:  YBa2Cu3O7
 sites:    Y1,Ba1,Cu1,Cu2,O1-4
 refer1:   Sharma, et al, Physica C 174, p.409, (1991)
 refer2:   Cava,  et al,  Physica C 165, p.419, (1990)
 notes:    high-temperature superconductor
 Abs   Z=29 Rmt= 1.003 Rnm= 1.266 K  shell
 Pot 1 Z= 8 Rmt= 0.960 Rnm= 1.125
 Pot 2 Z=56 Rmt= 1.770 Rnm= 1.956
 Pot 3 Z=29 Rmt= 1.003 Rnm= 1.266
 Pot 4 Z=39 Rmt= 1.474 Rnm= 1.805
 Gam_ch=1.761E+00 H-L exch
 Mu=-5.406E+00 kf=1.838E+00 Vint=-1.828E+01 Rs_int= 1.973
 S02  1.000  Temp   30.00  Debye temp  210.00  Global sig2  0.00000
 Curved wave amplitude ratio filter   4.000%
    file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
    8987.644     -3.531   0.700  4.46748E-01  5.52962E-01 -1.92082E-01
    8987.920     -3.255   0.750  4.68945E-01  5.69350E-01 -1.76350E-01
    8988.231     -2.944   0.800  4.89684E-01  5.85751E-01 -1.64006E-01
    8988.542     -2.633   0.850  5.05788E-01  6.00557E-01 -1.57802E-01
    8988.857     -2.318   0.900  5.17335E-01  6.14336E-01 -1.57896E-01
    8989.224     -1.951   0.950  5.24665E-01  6.29212E-01 -1.66155E-01
    8989.592     -1.584   1.000  5.25346E-01  6.43081E-01 -1.83079E-01
    8989.976     -1.199   1.050  5.19828E-01  6.56732E-01 -2.08463E-01
    8990.392     -0.783   1.100  5.10182E-01  6.70689E-01 -2.39317E-01
    8990.809     -0.367   1.150  5.03245E-01  6.83935E-01 -2.64191E-01
    8991.266      0.091   1.200  5.07641E-01  6.97788E-01 -2.72500E-01
    8991.726      0.551   1.250  5.31129E-01  7.11055E-01 -2.53041E-01
    8992.217      1.042   1.300  5.77908E-01  7.24558E-01 -2.02399E-01
    8992.716      1.541   1.350  6.42597E-01  7.37682E-01 -1.28896E-01
    8993.244      2.069   1.400  7.19164E-01  7.50913E-01 -4.22803E-02
    8993.781      2.606   1.450  7.94888E-01  7.63726E-01  4.08022E-02
    8994.349      3.173   1.500  8.63684E-01  7.76633E-01  1.12088E-01
    8994.925      3.749   1.550  9.15982E-01  7.89075E-01  1.60831E-01
    8995.528      4.353   1.600  9.49979E-01  8.01427E-01  1.85359E-01
    8996.147      4.971   1.650  9.64527E-01  8.13400E-01  1.85797E-01
    8996.781      5.606   1.700  9.63191E-01  8.24966E-01  1.67552E-01
    8997.442      6.267   1.750  9.51894E-01  8.36291E-01  1.38233E-01
    8998.117      6.942   1.800  9.38210E-01  8.47103E-01  1.07551E-01
    8998.809      7.634   1.850  9.29431E-01  8.57416E-01  8.39915E-02
    8999.527      8.352   1.900  9.31096E-01  8.67325E-01  7.35268E-02
    9000.261      9.085   1.950  9.45878E-01  8.76639E-01  7.89813E-02
    9001.011      9.836   2.000  9.73318E-01  8.85333E-01  9.93805E-02
    9001.781     10.606   2.050  1.01055E+00  8.93347E-01  1.31198E-01
    9002.574     11.399   2.100  1.05275E+00  9.00577E-01  1.68974E-01
    9003.384     12.209   2.150  1.09298E+00  9.06864E-01  2.05226E-01
    9004.212     13.037   2.200  1.12439E+00  9.12424E-01  2.32312E-01
    9005.059     13.884   2.250  1.14256E+00  9.17797E-01  2.44897E-01
    9005.925     14.750   2.300  1.14882E+00  9.23619E-01  2.43820E-01
    9006.810     15.635   2.350  1.14936E+00  9.30314E-01  2.35454E-01
    9007.716     16.540   2.400  1.14743E+00  9.37890E-01  2.23413E-01
    9008.640     17.465   2.450  1.14273E+00  9.45997E-01  2.07960E-01
    9009.583     18.408   2.500  1.13422E+00  9.54282E-01  1.88559E-01
    9010.545     19.370   2.550  1.12111E+00  9.62459E-01  1.64840E-01
    9011.526     20.351   2.600  1.10312E+00  9.70274E-01  1.36916E-01
    9012.526     21.351   2.650  1.08063E+00  9.77488E-01  1.05517E-01
    9013.546     22.370   2.700  1.05475E+00  9.83950E-01  7.19505E-02
    9014.583     23.408   2.750  1.02733E+00  9.89670E-01  3.80549E-02
    9015.640     24.465   2.800  1.00047E+00  9.94725E-01  5.77620E-03
    9016.716     25.541   2.850  9.75880E-01  9.99115E-01 -2.32557E-02
    9017.839     26.662   2.900  9.54263E-01  1.00290E+00 -4.84947E-02
    9018.966     27.788   2.950  9.37223E-01  1.00623E+00 -6.85785E-02
    9020.094     28.914   3.000  9.24763E-01  1.00929E+00 -8.37473E-02
    9021.221     30.040   3.050  9.16185E-01  1.01199E+00 -9.46689E-02
    9022.416     31.234   3.100  9.10085E-01  1.01418E+00 -1.02641E-01
    9023.618     32.436   3.150  9.06015E-01  1.01597E+00 -1.08223E-01
    9024.821     33.638   3.200  9.03278E-01  1.01753E+00 -1.12283E-01
    9026.023     34.840   3.250  9.01402E-01  1.01880E+00 -1.15232E-01
    9027.293     36.111   3.300  9.00179E-01  1.01958E+00 -1.17105E-01
    9028.570     37.389   3.350  9.00546E-01  1.02001E+00 -1.17125E-01
    9029.848     38.668   3.400  9.03580E-01  1.02030E+00 -1.14398E-01
    9031.125     39.946   3.450  9.09942E-01  1.02042E+00 -1.08266E-01
    9032.472     41.292   3.500  9.20218E-01  1.02024E+00 -9.80348E-02
    9033.827     42.647   3.550  9.34344E-01  1.01987E+00 -8.38604E-02
    9035.182     44.001   3.600  9.51607E-01  1.01941E+00 -6.65159E-02
    9036.537     45.356   3.650  9.70421E-01  1.01884E+00 -4.75262E-02
    9037.959     46.779   3.700  9.89604E-01  1.01802E+00 -2.79091E-02
    9039.389     48.210   3.750  1.00697E+00  1.01706E+00 -9.91508E-03
    9040.819     49.640   3.800  1.02129E+00  1.01604E+00  5.16030E-03
    9042.249     51.071   3.850  1.03164E+00  1.01499E+00  1.64123E-02
    9043.749     52.570   3.900  1.03779E+00  1.01381E+00  2.36496E-02
    9045.256     54.077   3.950  1.03956E+00  1.01259E+00  2.66332E-02
    9046.764     55.584   4.000  1.03757E+00  1.01136E+00  2.59178E-02
    9048.271     57.091   4.050  1.03260E+00  1.01014E+00  2.22339E-02
    9049.846     58.666   4.100  1.02534E+00  1.00892E+00  1.62734E-02
    9051.428     60.249   4.150  1.01704E+00  1.00772E+00  9.25243E-03
    9053.011     61.832   4.200  1.00893E+00  1.00653E+00  2.38817E-03
