# data from ifeffit
#------------------------
#   r         chir_mag         chir_mag         chir_re         chir_re
  5.7677678       0.49144418       0.57799607E-02  -0.23164970      -0.16652500E-02
  5.7984474       0.48454090       0.54383275E-02  -0.45416973       0.25053647E-02
  5.8291270       0.47445761       0.39887681E-02  -0.43562594       0.38075904E-02
  5.8598066       0.46611740       0.18690024E-02  -0.17951393       0.14870699E-02
  5.8904862       0.45555621       0.10608020E-02   0.15262214      -0.10481480E-02
  5.9211658       0.43310570       0.30113486E-02   0.36943311      -0.46065172E-03
  5.9518455       0.39111086       0.44462716E-02   0.39050420       0.27021031E-02
  5.9825251       0.33009640       0.49328933E-02   0.27972625       0.48672087E-02
  6.0132047       0.26287604       0.44081955E-02   0.16138340       0.36567378E-02
  6.0438843       0.21891418       0.30583696E-02   0.11104166       0.49764715E-03
  6.0745639       0.23163156       0.13948614E-02   0.11409782      -0.11790367E-02
  6.1052435       0.29302029       0.14464015E-02   0.10396210       0.16970683E-03
  6.1359232       0.37189021       0.28507766E-02   0.23786519E-01   0.26751211E-02
  6.1666028       0.45050439       0.37227892E-02  -0.13941414       0.33864874E-02
  6.1972824       0.52060666       0.37529546E-02  -0.35122844       0.15686246E-02
  6.2279620       0.57503928       0.29565097E-02  -0.53676072      -0.73211844E-03
  6.2586416       0.60436810       0.15504283E-02  -0.59904706      -0.12160717E-02
  6.2893212       0.59758506       0.14586469E-03  -0.46815747       0.12034166E-03
  6.3200008       0.54516504       0.16818846E-02  -0.17065207       0.12214923E-02
  6.3506805       0.44303262       0.27918980E-02   0.14223561       0.46888517E-03
  6.3813601       0.29893786       0.32550921E-02   0.26834676      -0.15308100E-02
  6.4120397       0.16910535       0.30321374E-02   0.10800325      -0.27751491E-02
  6.4427193       0.25558711       0.22418368E-02  -0.22169596      -0.21627537E-02
  6.4733989       0.47861468       0.11194466E-02  -0.43251036      -0.60542284E-03
  6.5040785       0.71635546       0.16135065E-03  -0.26960070       0.14583338E-03
  6.5347582       0.93478289       0.10664264E-02   0.27368159      -0.53743960E-03
  6.5654378        1.1149343       0.16785682E-02   0.91145534      -0.16118730E-02
  6.5961174        1.2449566       0.18743940E-02    1.2442341      -0.16676055E-02
  6.6267970        1.3194465       0.17233721E-02    1.0315149      -0.48857581E-03
  6.6574766        1.3391503       0.13968259E-02   0.35218808       0.82064248E-03
  6.6881562        1.3101991       0.11130946E-02  -0.45812811       0.11049700E-02
  6.7188359        1.2428275       0.99114949E-03   -1.0267312       0.32402491E-03
  6.7495155        1.1496916       0.91744414E-03   -1.1496501      -0.57263758E-03
  6.7801951        1.0439878       0.73583666E-03  -0.85577873      -0.73571515E-03
  6.8108747       0.93770149       0.42861625E-03  -0.33076410      -0.21306969E-03
  6.8415543       0.84045582       0.28485229E-03   0.20534492       0.28318843E-03
  6.8722339       0.75941156       0.62472133E-03   0.58089605       0.19793325E-03
  6.9029135       0.70019061       0.97522335E-03   0.69930057      -0.38941101E-03
  6.9335932       0.66784446       0.12041544E-02   0.54124667      -0.10026059E-02
  6.9642728       0.66641075       0.13013137E-02   0.16599608      -0.12930612E-02
  6.9949524       0.69703301       0.13124937E-02  -0.29640102      -0.12638727E-02
  7.0256320       0.75694355       0.13061840E-02  -0.67810707      -0.10876176E-02
  7.0563116       0.84081085       0.13253034E-02  -0.82677737      -0.85562932E-03
  7.0869912       0.94278392       0.13590847E-02  -0.65645124      -0.54522824E-03
  7.1176709        1.0571809       0.13684550E-02  -0.18009292      -0.15072472E-03
  7.1483505        1.1777480       0.13281095E-02   0.47775041       0.24260533E-03
  7.1790301        1.2965994       0.12464809E-02    1.0936220       0.52525048E-03
  7.2097097        1.4038323       0.11691532E-02    1.4035207       0.66876415E-03
  7.2403893        1.4881661       0.11743961E-02    1.2162008       0.75846889E-03
  7.2710689        1.5383712       0.13387194E-02   0.53893113       0.94649657E-03
  7.3017486        1.5449932       0.16767804E-02  -0.37537002       0.13634104E-02
  7.3324282        1.5019126       0.21387978E-02   -1.1293744       0.20058902E-02
  7.3631078        1.4074577       0.26466528E-02   -1.3980461       0.26465505E-02
  7.3937874        1.2649931       0.31111684E-02   -1.1215279       0.28816935E-02
  7.4244670        1.0831175       0.34438270E-02  -0.52917707       0.23817598E-02
  7.4551466       0.87589473       0.35763303E-02   0.30210519E-01   0.11912490E-02
  7.4858262       0.66423727       0.34862638E-02   0.32431275      -0.22554909E-03
  7.5165059       0.48132185       0.32227444E-02   0.36032046      -0.13184095E-02
  7.5471855       0.38146006       0.29195191E-02   0.31439843      -0.18897394E-02
  7.5778651       0.40197315       0.27542719E-02   0.34807896      -0.21895212E-02
  7.6085447       0.48973344       0.28050552E-02   0.47401203      -0.25442471E-02
  7.6392243       0.57880580       0.29492310E-02   0.57104812      -0.29177844E-02
  7.6699039       0.64033174       0.29852430E-02   0.51010683      -0.29146385E-02
  7.7005836       0.66677642       0.27815546E-02   0.26717440      -0.22532642E-02
  7.7312632       0.66083134       0.23214493E-02  -0.65732561E-01  -0.11763610E-02
  7.7619428       0.63042608       0.16993032E-02  -0.35733163      -0.29419593E-03
  7.7926224       0.58526835       0.11164018E-02  -0.51950218       0.78428256E-05
  7.8233020       0.53371029       0.85454343E-03  -0.53371015      -0.60803928E-04
  7.8539816       0.48040996       0.89991268E-03  -0.42769528       0.12841823E-04
  7.8846612       0.42588900       0.89582946E-03  -0.24716167       0.40720693E-03
  7.9153409       0.36835172       0.74774956E-03  -0.46967299E-01   0.71842760E-03
  7.9460205       0.30654307       0.73058117E-03   0.11306350       0.41345765E-03
  7.9767001       0.24184255       0.10928930E-02   0.18842500      -0.51735101E-03
  8.0073797       0.17872297       0.15496094E-02   0.17637263      -0.14650933E-02
  8.0380593       0.12375665       0.18521929E-02   0.11671727      -0.17986966E-02
  8.0687389       0.83538141E-01   0.19193064E-02   0.56453772E-01  -0.14881510E-02
  8.0994186       0.61909755E-01   0.18440334E-02   0.10799324E-01  -0.10465144E-02
  8.1300982       0.60970291E-01   0.19019482E-02  -0.35663284E-01  -0.86419129E-03
  8.1607778       0.86068675E-01   0.23007489E-02  -0.86013652E-01  -0.71874006E-03
  8.1914574       0.13747511       0.28877995E-02  -0.97243840E-01  -0.49525531E-04
  8.2221370       0.20938394       0.33837937E-02  -0.74269760E-02   0.13014221E-02
  8.2528166       0.29510814       0.35997582E-02   0.18733635       0.27394476E-02
  8.2834963       0.38810785       0.34676081E-02   0.38265457       0.33907733E-02
  8.3141759       0.48228782       0.30297912E-02   0.41229802       0.29055459E-02
  8.3448555       0.57214212       0.24136455E-02   0.17632514       0.17308101E-02
  8.3755351       0.65265185       0.17883474E-02  -0.25151529       0.60119838E-03
  8.4062147       0.71908867       0.13046814E-02  -0.64032859      -0.13689896E-03
  8.4368943       0.76698424       0.10375151E-02  -0.74836790      -0.62396382E-03
  8.4675739       0.79244892       0.10153841E-02  -0.49214380      -0.99847709E-03
  8.4982536       0.79284361       0.12707391E-02  -0.58324908E-02  -0.10165466E-02
  8.5289332       0.76764820       0.17175765E-02   0.45430960      -0.31265860E-03
