# data from ifeffit
#------------------------
#   r          chir_mag          chir_mag          chir_re          chir_re
  5.0928162       0.79709455       0.43255791E-02  -0.78295866       0.37326182E-02
  5.1234958       0.79055083       0.71270553E-02  -0.69251211       0.71125519E-02
  5.1541754       0.80108896       0.85181964E-02  -0.53090713       0.77664121E-02
  5.1848551       0.81529124       0.83641606E-02  -0.28013370       0.53037144E-02
  5.2155347       0.82470767       0.70109994E-02   0.42508371E-01   0.20778555E-02
  5.2462143       0.82447289       0.52773891E-02   0.38138245       0.40739477E-03
  5.2768939       0.81170591       0.43189264E-02   0.65419440       0.31585975E-03
  5.3075735       0.78496289       0.44865315E-02   0.77625588       0.15902958E-03
  5.3382531       0.74458734       0.46758093E-02   0.69565350      -0.97717464E-03
  5.3689328       0.69320752       0.40609737E-02   0.42656236      -0.21298891E-02
  5.3996124       0.63565628       0.26122293E-02   0.57519286E-01  -0.18579233E-02
  5.4302920       0.57795151       0.15599278E-02  -0.28031929      -0.34778987E-03
  5.4609716       0.52550084       0.31865518E-02  -0.47285826       0.43559818E-03
  5.4916512       0.48132245       0.52460110E-02  -0.47489434      -0.11388639E-02
  5.5223308       0.44543460       0.66648570E-02  -0.32141019      -0.43889390E-02
  5.5530105       0.41588892       0.71230316E-02  -0.95400279E-01  -0.67802263E-02
  5.5836901       0.39043952       0.65844462E-02   0.11985182      -0.64045349E-02
  5.6143697       0.36733732       0.52372598E-02   0.27082134      -0.38187341E-02
  5.6450493       0.34491037       0.34564718E-02   0.33513289      -0.13325223E-02
  5.6757289       0.32096027       0.18998995E-02   0.30951989      -0.62697723E-03
  5.7064085       0.29313207       0.18386134E-02   0.20498351      -0.12815453E-02
  5.7370881       0.26041366       0.27103789E-02   0.52689890E-01  -0.16161675E-02
  5.7677678       0.22504894       0.32217481E-02  -0.94319861E-01  -0.68613306E-03
  5.7984474       0.19392631       0.31139477E-02  -0.17767405       0.81942851E-03
  5.8291270       0.17728176       0.24697254E-02  -0.16340859       0.15892350E-02
  5.8598066       0.18082448       0.16096268E-02  -0.63027784E-01   0.12615911E-02
  5.8904862       0.19822739       0.13201762E-02   0.72443964E-01   0.74250642E-03
  5.9211658       0.21765436       0.19472630E-02   0.18263596       0.10384871E-02
  5.9518455       0.23080625       0.25876156E-02   0.23055791       0.20608478E-02
  5.9825251       0.23494574       0.28115961E-02   0.21606799       0.27686922E-02
  6.0132047       0.23207020       0.25256514E-02   0.16495780       0.24018548E-02
  6.0438843       0.22771040       0.18127989E-02   0.10594622       0.13426270E-02
  6.0745639       0.22901632       0.96409525E-03   0.52620653E-01   0.65910211E-03
  6.1052435       0.24135243       0.92352542E-03  -0.26914393E-03   0.91749359E-03
  6.1359232       0.26492394       0.16431903E-02  -0.67178611E-01   0.16198065E-02
  6.1666028       0.29468912       0.21646209E-02  -0.15586676       0.18328338E-02
  6.1972824       0.32296656       0.22732856E-02  -0.25421708       0.12234776E-02
  6.2279620       0.34171487       0.19854007E-02  -0.32877961       0.34069706E-03
  6.2586416       0.34378062       0.14900223E-02  -0.34033494      -0.85288159E-04
