# data from ifeffit
#------------------------
#   energy    f1
  9148.1040       -2.9435813
  9149.1040       -2.9598121
  9150.1040       -2.9865354
  9151.1040       -3.0185646
  9152.1040       -3.0588060
  9153.1040       -3.1020308
  9154.1040       -3.1515212
  9155.1040       -3.2020948
  9156.1040       -3.2566623
  9157.1040       -3.3095397
  9158.1040       -3.3625042
  9159.1040       -3.4077840
  9160.1040       -3.4463362
  9161.1040       -3.4739157
  9162.1040       -3.4957389
  9163.1040       -3.5084350
  9164.1040       -3.5148240
  9165.1040       -3.5098089
  9166.1040       -3.4978563
  9167.1040       -3.4773222
  9168.1040       -3.4543087
  9169.1040       -3.4261213
  9170.1040       -3.3974504
  9171.1040       -3.3651485
  9172.1040       -3.3336783
  9173.1040       -3.2999445
  9174.1040       -3.2688419
  9175.1040       -3.2384324
  9176.1040       -3.2140637
  9177.1040       -3.1925353
  9178.1040       -3.1774416
  9179.1040       -3.1646457
  9180.1040       -3.1571108
  9181.1040       -3.1500648
  9182.1040       -3.1462241
  9183.1040       -3.1409115
  9184.1040       -3.1367138
  9185.1040       -3.1295280
  9186.1040       -3.1226838
  9187.1040       -3.1128643
  9188.1040       -3.1047514
  9189.1040       -3.0972179
  9190.1040       -3.0958489
  9191.1040       -3.0980640
  9192.1040       -3.1077663
  9193.1040       -3.1211677
  9194.1040       -3.1403705
  9195.1040       -3.1596268
  9196.1040       -3.1802635
  9197.1040       -3.1966172
  9198.1040       -3.2095236
  9199.1040       -3.2137875
  9200.1040       -3.2114237
  9201.1040       -3.1982051
  9202.1040       -3.1776391
  9203.1040       -3.1479907
  9204.1040       -3.1150658
  9205.1040       -3.0774928
  9206.1040       -3.0409077
  9207.1040       -3.0040485
  9208.1040       -2.9709466
  9209.1040       -2.9376567
  9210.1040       -2.9062968
  9211.1040       -2.8733503
  9212.1040       -2.8422622
  9213.1040       -2.8102674
  9214.1040       -2.7806747
  9215.1040       -2.7501059
  9216.1040       -2.7216032
  9217.1040       -2.6926363
  9218.1040       -2.6679397
  9219.1040       -2.6461192
  9220.1040       -2.6308113
  9221.1040       -2.6185248
  9222.1040       -2.6115314
  9223.1040       -2.6066277
  9224.1040       -2.6071597
  9225.1040       -2.6105657
  9226.1040       -2.6196060
  9227.1040       -2.6302931
  9228.1040       -2.6441973
  9229.1040       -2.6576938
  9230.1040       -2.6735955
  9231.1040       -2.6892157
  9232.1040       -2.7073579
  9233.1040       -2.7248791
  9234.1040       -2.7441815
  9235.1040       -2.7618843
  9236.1040       -2.7800028
  9237.1040       -2.7946330
  9238.1040       -2.8078498
  9239.1040       -2.8164587
  9240.1040       -2.8230750
  9241.1040       -2.8250304
  9242.1040       -2.8256893
  9243.1040       -2.8235041
  9244.1040       -2.8224460
  9245.1040       -2.8204059
  9246.1040       -2.8207041
  9247.1040       -2.8208595
  9248.1040       -2.8235171
  9249.1040       -2.8251585
  9250.1040       -2.8275095
  9251.1040       -2.8275296
  9252.1040       -2.8282680
  9253.1040       -2.8278436
  9254.1040       -2.8293589
  9255.1040       -2.8302435
  9256.1040       -2.8329834
  9257.1040       -2.8347142
  9258.1040       -2.8377668
  9259.1040       -2.8390431
  9260.1040       -2.8406781
  9261.1040       -2.8397965
  9262.1040       -2.8387307
  9263.1040       -2.8347371
  9264.1040       -2.8303874
  9265.1040       -2.8233643
  9266.1040       -2.8166548
  9267.1040       -2.8080340
  9268.1040       -2.8002332
  9269.1040       -2.7908623
  9270.1040       -2.7825524
  9271.1040       -2.7728870
  9272.1040       -2.7644500
  9273.1040       -2.7548265
  9274.1040       -2.7466129
  9275.1040       -2.7375159
  9276.1040       -2.7302592
  9277.1040       -2.7224646
  9278.1040       -2.7164714
  9279.1040       -2.7094712
  9280.1040       -2.7035641
  9281.1040       -2.6961351
  9282.1040       -2.6894951
  9283.1040       -2.6811617
  9284.1040       -2.6735202
  9285.1040       -2.6642102
  9286.1040       -2.6557667
  9287.1040       -2.6457971
  9288.1040       -2.6364647
  9289.1040       -2.6248059
  9290.1040       -2.6125874
  9291.1040       -2.5972705
  9292.1040       -2.5813166
  9293.1040       -2.5627515
  9294.1040       -2.5443709
  9295.1040       -2.5244527
  9296.1040       -2.5063466
  9297.1040       -2.4887202
  9298.1040       -2.4742938
  9299.1040       -2.4607895
  9300.1040       -2.4501711
  9301.1040       -2.4399115
  9302.1040       -2.4320516
  9303.1040       -2.4239740
  9304.1040       -2.4176392
  9305.1040       -2.4108068
  9306.1040       -2.4060360
  9307.1040       -2.4016924
  9308.1040       -2.4003558
  9309.1040       -2.3999199
  9310.1040       -2.4025352
  9311.1040       -2.4058173
  9312.1040       -2.4116749
  9313.1040       -2.4174053
  9314.1040       -2.4244318
  9315.1040       -2.4299877
  9316.1040       -2.4358998
  9317.1040       -2.4398064
  9318.1040       -2.4437507
