# Cu foil at 10K
# # cu10k.dat    : this file is part of the uwxafs 3.0 distribution
# data taken at NSLS beamline X-11A Sept 1992
# by M Newville, B Ravel, and Y Zhang
# foil of 99.999% Cu rolled and annealled to ~12 microns
# sample prepared by M Newville
# From X-11A :
# 2-SI111 HC/2D= 1977.260 STPDEG=6400. STPMMZ= 40.
# FOCUS=F TRANSLT=F  E0= 8980.0 NREG= 3 NPTS= 611 NSCLRS= 3 EF= .0
# SRB=     -193.7    -43.5     30.0   2381.3
# DEL=         10.020     .483     .050K
# SEC=             1.000    1.000    1.000
# DETECTORSI0      I       If
# GAINS           8       7      10
# OFFSETS     51284   50016   48319
#------------------------
#   energy        xmu
  9896.100         2.263998
  9901.980         2.264150
  9907.920         2.261573
  9913.867         2.257439
  9919.876         2.252447
  9925.838         2.245956
  9931.859         2.240462
  9937.890         2.235462
  9943.980         2.228760
  9950.025         2.219993
  9956.132         2.213546
  9962.300         2.207783
  9968.367         2.204902
  9974.497         2.202134
  9980.687         2.199268
  9986.832         2.191243
  9993.038         2.184893
  9999.253         2.181988
  10005.53         2.175889
  10011.76         2.168400
  10018.05         2.161425
  10024.35         2.155688
  10030.66         2.151178
  10037.03         2.145570
  10043.36         2.139351
  10049.74         2.135055
  10056.14         2.131782
  10062.54         2.131762
  10068.96         2.132080
  10075.43         2.127986
  10081.92         2.122787
  10088.46         2.116560
  10094.91         2.112059
  10101.42         2.107203
  10107.94         2.101453
  10114.52         2.094787
  10121.11         2.089134
  10127.71         2.082759
  10134.32         2.078182
  10141.05         2.073463
  10147.68         2.068076
  10154.31         2.063473
  10161.01         2.061048
  10167.78         2.055853
  10174.49         2.049533
  10181.28         2.042940
  10188.07         2.036571
  10194.82         2.031228
  10201.63         2.026054
  10208.45         2.021201
  10215.28         2.017216
  10222.17         2.014019
  10229.13         2.011350
  10235.99         2.007960
  10242.86         2.003555
  10249.85         1.997455
  10256.79         1.991910
  10263.80         1.988298
  10270.82         1.983455
  10277.85         1.978791
  10284.89         1.974810
  10291.88         1.969660
  10299.05         1.964434
  10306.12         1.960277
  10313.20         1.955222
  10320.41         1.949610
  10327.50         1.943582
  10334.73         1.937461
  10341.85         1.931902
  10349.09         1.926781
  10356.35         1.922293
  10363.61         1.918179
  10370.89         1.913225
  10378.17         1.908101
  10385.47         1.902590
  10392.78         1.897350
  10400.10         1.892302
  10407.48         1.888240
  10414.82         1.884945
  10422.23         1.880880
  10429.65         1.875209
  10437.14         1.869117
  10444.58         1.864810
  10452.03         1.859730
  10459.55         1.854703
  10467.08         1.850927
  10474.63         1.846062
  10482.18         1.841454
  10489.75         1.836949
  10497.32         1.832029
  10504.97         1.827266
  10512.57         1.822091
  10520.24         1.816615
  10527.92         1.811286
  10535.62         1.806091
  10543.32         1.801056
  10551.04         1.795975
  10558.77         1.790457
  10566.50         1.784985
  10574.32         1.779817
  10582.20         1.774830
  10589.91         1.770077
  10597.76         1.765584
  10605.62         1.761346
  10613.55         1.756188
  10621.43         1.751146
  10629.33         1.745866
  10637.30         1.741325
  10645.21         1.736995
  10653.21         1.732137
  10661.21         1.727265
  10669.23         1.722011
  10677.26         1.716960
  10685.30         1.711949
  10693.35         1.707255
  10701.54         1.702657
  10709.56         1.698036
  10717.71         1.692923
  10725.81         1.688424
  10733.99         1.683495
  10742.24         1.678441
  10750.38         1.673326
  10758.60         1.668216
  10766.83         1.662904
  10775.14         1.657390
  10783.39         1.652672
  10791.72         1.647545
  10800.00         1.642962
  10808.36         1.638716
  10816.73         1.634322
  10825.05         1.629474
  10833.45         1.624254
  10841.86         1.619885
  10850.41         1.614815
  10858.78         1.610030
  10867.23         1.605274
  10875.76         1.600137
  10884.23         1.595601
  10892.85         1.590329
  10901.29         1.585683
  10909.94         1.580797
  10918.47         1.576162
  10927.08         1.571243
  10935.70         1.566459
  10944.40         1.561783
  10952.99         1.556788
  10961.65         1.551967
  10970.40         1.546871
  10979.09         1.541756
  10987.86         1.536987
  10996.65         1.531856
  11005.32         1.527318
  11014.14         1.522359
  11022.97         1.517451
  11031.81         1.512805
  11040.67         1.507971
  11049.54         1.503313
  11058.43         1.498878
  11067.33         1.493591
  11076.25         1.489248
  11085.18         1.484389
  11094.12         1.479586
  11103.15         1.475953
  11112.13         1.470389
  11121.25         1.465458
  11130.19         1.460824
  11139.34         1.456106
  11148.38         1.451418
  11157.43         1.446648
  11166.56         1.441941
  11175.78         1.437189
  11184.87         1.432610
  11194.05         1.427790
  11203.31         1.422876
  11212.45         1.418740
  11221.68         1.413546
  11230.98         1.408856
  11240.17         1.404290
  11249.51         1.399685
  11258.80         1.395006
  11268.17         1.390236
  11277.55         1.385646
  11286.82         1.381390
  11296.24         1.376596
  11305.60         1.371654
  11315.05         1.367242
  11324.52         1.362544
  11333.93         1.358360
  11343.43         1.353479
  11352.94         1.349326
  11362.47         1.344309
