#:RESULT:FerriteDAFS01.0003.q
#--------------------------
#Q     Intensity
  2.383185       157.810638
  2.386824       158.084686
  2.390463       158.714844
  2.394102       159.827972
  2.397740       160.572006
  2.401378       161.067581
  2.405016       161.982620
  2.408653       163.912415
  2.412290       165.786514
  2.415926       168.291702
  2.419563       171.836700
  2.423198       177.547684
  2.426834       186.441071
  2.430469       199.432327
  2.434103       218.150345
  2.437738       244.303711
  2.441372       277.293945
  2.445005       311.415649
  2.448639       340.521637
  2.452271       359.229553
  2.455904       358.648865
  2.459536       332.052795
  2.463167       289.347687
  2.466799       248.610779
  2.470429       218.581757
  2.474060       199.066208
  2.477690       185.816284
  2.481320       177.538513
  2.484950       171.791245
  2.488579       167.805557
  2.492207       164.104691
  2.495836       161.370590
  2.499463       159.751343
  2.503091       158.232498
  2.506718       156.475708
  2.510345       155.406021
  2.513971       154.677444
  2.517597       153.776154
  2.521223       153.406006
  2.524848       153.184814
  2.528473       152.376144
  2.532097       152.494400
  2.535721       152.730804
  2.539345       153.059479
  2.542968       153.926743
  2.546591       155.994598
  2.550213       159.281586
  2.553835       162.472321
  2.557457       165.152817
  2.561079       166.808380
  2.564699       166.266296
  2.568320       163.269867
  2.571940       158.836136
  2.575560       155.226486
  2.579179       152.258011
  2.582798       150.252228
  2.586417       149.290222
  2.590035       148.248291
  2.593652       147.755203
  2.597270       147.539948
  2.600887       147.186035
  2.604503       146.348557
  2.608119       145.505432
  2.611735       145.586777
  2.615351       145.464325
  2.618966       145.244446
  2.622580       144.840103
  2.626194       144.604706
  2.629808       144.475021
  2.633422       144.702835
  2.637035       144.887512
  2.640647       144.581146
  2.644259       144.352310
  2.647871       144.572495
  2.651482       144.287994
  2.655093       144.215805
  2.658704       144.036224
  2.662314       143.987900
  2.665924       143.543015
  2.669533       143.289124
  2.673142       142.933807
  2.676751       142.869461
  2.680359       143.067001
  2.683966       142.855591
  2.687574       142.734299
  2.691180       143.015442
  2.694787       143.059265
  2.698393       143.363892
  2.701998       143.069061
  2.705604       142.344574
  2.709209       142.452026
  2.712813       142.566727
  2.716417       142.486221
  2.720021       142.125549
  2.723624       142.044418
  2.727226       142.088806
  2.730829       141.708939
  2.734431       141.633438
  2.738032       141.369690
  2.741633       141.660400
  2.745234       140.908752
  2.748834       140.861298
  2.752434       140.634628
  2.756033       140.812500
  2.759632       140.695572
  2.763231       140.634842
  2.766829       140.633942
  2.770427       140.776093
  2.774023       140.608932
  2.777620       140.527695
  2.781217       140.309189
  2.784813       140.320892
  2.788408       140.631073
  2.792003       140.606964
  2.795598       140.274155
  2.799192       140.061707
  2.802786       139.797455
  2.806380       139.612152
  2.809973       139.646881
  2.813565       139.480530
  2.817158       139.017181
  2.820749       139.030441
  2.824340       139.012711
  2.827931       138.774841
  2.831522       139.198654
  2.835112       138.830078
  2.838701       138.969986
  2.842290       139.279785
  2.845879       138.716537
  2.849467       138.611237
  2.853055       138.436783
  2.856642       138.382690
  2.860229       138.452591
  2.863816       138.315369
  2.867402       138.318848
  2.870987       137.958984
  2.874573       137.717957
  2.878157       137.498322
  2.881742       137.810059
  2.885325       137.867935
  2.888909       137.832611
  2.892492       138.521896
  2.896074       138.570145
  2.899657       138.854599
  2.903238       139.168060
  2.906819       139.515274
  2.910400       139.999786
  2.913980       140.408157
  2.917560       140.224350
  2.921139       140.849075
  2.924718       141.906860
  2.928297       143.581573
  2.931875       145.480042
  2.935453       148.012421
  2.939030       152.069595
  2.942607       157.668228
  2.946183       164.802704
  2.949759       172.670120
  2.953334       179.901367
  2.956909       184.497147
  2.960484       183.990173
  2.964057       177.677399
  2.967631       167.698853
  2.971204       157.948669
  2.974777       151.417526
  2.978349       147.311630
  2.981921       144.339706
  2.985492       142.780029
  2.989063       141.188766
  2.992633       139.511902
  2.996203       138.704849
  2.999773       138.127655
  3.003342       137.658997
  3.006910       136.835052
  3.010478       136.833801
  3.014046       136.337021
  3.017613       136.023132
  3.021180       135.596695
  3.024746       135.207626
  3.028312       134.847305
