# ENERGY     XMU  I0   THETA
#-------------------
#  my.1      tmp.xafs  my.8      my.2
        0.1834631E+05     0.4041624E+00     0.4508900E+05     0.1013519E+02
        0.1834900E+05     0.3994989E+00     0.4504400E+05     0.1013369E+02
        0.1835170E+05     0.4035406E+00     0.4498000E+05     0.1013219E+02
        0.1835439E+05     0.4032861E+00     0.4515900E+05     0.1013069E+02
        0.1835708E+05     0.4084180E+00     0.4524600E+05     0.1012919E+02
        0.1835978E+05     0.4073553E+00     0.4536400E+05     0.1012768E+02
        0.1836247E+05     0.4085296E+00     0.4588900E+05     0.1012618E+02
        0.1836517E+05     0.4122377E+00     0.4586700E+05     0.1012468E+02
        0.1836787E+05     0.4083776E+00     0.4631500E+05     0.1012318E+02
        0.1837056E+05     0.4142538E+00     0.4626200E+05     0.1012167E+02
        0.1837326E+05     0.4122518E+00     0.4602900E+05     0.1012017E+02
        0.1837596E+05     0.4122520E+00     0.4610900E+05     0.1011867E+02
        0.1837866E+05     0.4157982E+00     0.4568800E+05     0.1011717E+02
        0.1838136E+05     0.4088081E+00     0.4530600E+05     0.1011567E+02
        0.1838406E+05     0.4095218E+00     0.4488300E+05     0.1011416E+02
        0.1838677E+05     0.4032342E+00     0.4441900E+05     0.1011266E+02
        0.1838947E+05     0.4001763E+00     0.4437800E+05     0.1011116E+02
        0.1839217E+05     0.4014233E+00     0.4447200E+05     0.1010966E+02
        0.1839488E+05     0.3986395E+00     0.4447000E+05     0.1010816E+02
        0.1839758E+05     0.4005484E+00     0.4438100E+05     0.1010665E+02
        0.1840029E+05     0.3946106E+00     0.4402800E+05     0.1010515E+02
        0.1840300E+05     0.3997129E+00     0.4327800E+05     0.1010365E+02
        0.1840571E+05     0.3636581E+00     0.3433200E+05     0.1010215E+02
        0.1840841E+05     0.4068114E+00     0.4567600E+05     0.1010064E+02
        0.1841112E+05     0.4113718E+00     0.4615900E+05     0.1009914E+02
        0.1841383E+05     0.4110766E+00     0.4616600E+05     0.1009764E+02
        0.1841654E+05     0.4129327E+00     0.4610500E+05     0.1009614E+02
        0.1841926E+05     0.4131759E+00     0.4594400E+05     0.1009464E+02
        0.1842197E+05     0.4118892E+00     0.4626300E+05     0.1009313E+02
        0.1842468E+05     0.4127471E+00     0.4582200E+05     0.1009163E+02
        0.1842740E+05     0.4068944E+00     0.4571300E+05     0.1009013E+02
        0.1843011E+05     0.4117317E+00     0.4555100E+05     0.1008863E+02
        0.1843283E+05     0.4048094E+00     0.4516400E+05     0.1008712E+02
        0.1843555E+05     0.4096148E+00     0.4501900E+05     0.1008562E+02
        0.1843827E+05     0.4122205E+00     0.4493100E+05     0.1008412E+02
        0.1844098E+05     0.4157316E+00     0.4476800E+05     0.1008262E+02
        0.1844370E+05     0.4109549E+00     0.4509100E+05     0.1008112E+02
        0.1844642E+05     0.4059468E+00     0.4463900E+05     0.1007961E+02
        0.1844914E+05     0.4058530E+00     0.4493300E+05     0.1007811E+02
        0.1845186E+05     0.4046225E+00     0.4496600E+05     0.1007661E+02
        0.1845459E+05     0.4078001E+00     0.4527100E+05     0.1007511E+02
        0.1845731E+05     0.4020737E+00     0.4506900E+05     0.1007361E+02
        0.1846004E+05     0.4020434E+00     0.4486000E+05     0.1007210E+02
        0.1846276E+05     0.4059140E+00     0.4532800E+05     0.1007060E+02
        0.1846549E+05     0.4019811E+00     0.4503800E+05     0.1006910E+02
        0.1846821E+05     0.4021972E+00     0.4480600E+05     0.1006760E+02
        0.1847094E+05     0.4042615E+00     0.4496500E+05     0.1006610E+02
        0.1847367E+05     0.4030150E+00     0.4498500E+05     0.1006459E+02
        0.1847640E+05     0.4084994E+00     0.4477000E+05     0.1006309E+02
        0.1847913E+05     0.4052910E+00     0.4455800E+05     0.1006159E+02
        0.1848186E+05     0.4097097E+00     0.4449700E+05     0.1006009E+02
        0.1848459E+05     0.4053860E+00     0.4420400E+05     0.1005858E+02
        0.1848732E+05     0.4065181E+00     0.4461100E+05     0.1005708E+02
        0.1849006E+05     0.4046530E+00     0.4448300E+05     0.1005558E+02
        0.1849279E+05     0.4027627E+00     0.4469900E+05     0.1005408E+02
        0.1849553E+05     0.4079366E+00     0.4479600E+05     0.1005258E+02
        0.1849826E+05     0.4096073E+00     0.4533700E+05     0.1005107E+02
        0.1850100E+05     0.4169952E+00     0.4538900E+05     0.1004957E+02
        0.1850373E+05     0.4101278E+00     0.4507900E+05     0.1004807E+02
        0.1850647E+05     0.3944412E+00     0.4508200E+05     0.1004657E+02
        0.1850921E+05     0.4096239E+00     0.4536500E+05     0.1004506E+02
        0.1851195E+05     0.4071161E+00     0.4491900E+05     0.1004356E+02
        0.1851469E+05     0.4055158E+00     0.4467200E+05     0.1004206E+02
        0.1851743E+05     0.4101276E+00     0.4462500E+05     0.1004056E+02
        0.1852018E+05     0.4049451E+00     0.4457500E+05     0.1003906E+02
        0.1852292E+05     0.4047574E+00     0.4520500E+05     0.1003755E+02
        0.1852566E+05     0.4070664E+00     0.4574300E+05     0.1003605E+02
        0.1852841E+05     0.4055120E+00     0.4568800E+05     0.1003455E+02
        0.1853115E+05     0.4091802E+00     0.4575400E+05     0.1003305E+02
